Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
118,4/2/17,CHO,@,OKC,4th,06:05.0,CHO up 19 (102-83),F. Kaminsky misses free throw 2 of 2,CHO up 19 (102-83)
119,4/2/17,CHO,@,OKC,4th,06:05.0,CHO up 18 (101-83),F. Kaminsky makes free throw 1 of 2,CHO up 19 (102-83)
120,4/2/17,CHO,@,OKC,4th,08:51.0,CHO up 14 (92-78),J. Lamb makes free throw 1 of 1,CHO up 15 (93-78)
121,4/2/17,CHO,@,OKC,4th,10:39.0,CHO up 15 (87-72),F. Kaminsky makes free throw 2 of 2,CHO up 16 (88-72)
122,4/2/17,CHO,@,OKC,4th,10:39.0,CHO up 14 (86-72),F. Kaminsky makes free throw 1 of 2,CHO up 15 (87-72)
123,4/2/17,CHO,@,OKC,3rd,03:21.0,CHO up 14 (81-67),C. Zeller makes free throw 2 of 2,CHO up 15 (82-67)
124,4/2/17,CHO,@,OKC,3rd,03:21.0,CHO up 14 (81-67),C. Zeller misses free throw 1 of 2,CHO up 14 (81-67)
125,4/2/17,CHO,@,OKC,3rd,04:21.0,CHO up 18 (80-62),K. Walker makes free throw 2 of 2,CHO up 19 (81-62)
126,4/2/17,CHO,@,OKC,3rd,04:21.0,CHO up 17 (79-62),K. Walker makes free throw 1 of 2,CHO up 18 (80-62)
127,4/2/17,CHO,@,OKC,2nd,03:22.0,CHO up 8 (50-42),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 9 (51-42)
128,4/2/17,CHO,@,OKC,2nd,03:22.0,CHO up 7 (49-42),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 8 (50-42)
129,4/2/17,CHO,@,OKC,2nd,04:46.0,CHO up 5 (45-40),F. Kaminsky makes free throw 2 of 2,CHO up 6 (46-40)
130,4/2/17,CHO,@,OKC,2nd,04:46.0,CHO up 4 (44-40),F. Kaminsky makes free throw 1 of 2,CHO up 5 (45-40)
131,4/2/17,CHO,@,OKC,2nd,05:26.0,CHO up 5 (43-38),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 6 (44-38)
